Top250,MovieName,OtherName,Director,Year,Country,Type,Rating,EvaluationNum,quote
180,你看起来好像很好吃,你看起来很好吃(台)/你看上去好像很好吃,藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,248523,感情不分食草或者食肉。
181,未麻的部屋,蓝色恐惧(台)/蓝色的恐惧,今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,8.9,188654,好的剧本是，就算你猜到了结局也猜不到全部。
182,雨人,手足情未了(港)/手足情深,巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,309377,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
183,新世界,暗黑新世界(台)/New World,朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.8,235237,要做就做得狠一点，这样才能活下去。
184,无敌破坏王,破坏王拉尔夫/破坏王大冒险,瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,382938,迪士尼和皮克斯拿错剧本的产物。
185,海街日记,海街女孩日记(港)/Kamakura Diary,是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,283513,是枝裕和的家庭习作。
186,冰川时代,冰河世纪/冰原历险记,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,8.6,459025,松鼠才是角儿。
187,恋恋笔记本,忘了·忘不了(港)/手札情缘(台),尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,477377,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
188,惊魂记,精神病患者/触目惊心(港),阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,166515,故事的反转与反转，分裂电影的始祖。
189,二十二,Twenty Two/22,郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,214505,有一些东西不应该被遗忘。
190,海边的曼彻斯特,情系海边之城(港),肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,355247,我们都有权利不与自己的过去和解。
191,房间,不存在的房间(台)/抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,288300,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
192,恐怖游轮,汪洋血迷宮(台)/轮回三角,克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,569164,不要企图在重复中寻找已经失去的爱。
193,虎口脱险,横冲直撞出重围(港)/大進擊(台),杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,170840,永远看不腻的喜剧。
194,魔女宅急便,魔女琪琪(台)/小魔女限时专送,宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.6,336900,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
195,奇迹男孩,奇迹,斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,417328,世界不完美，爱会有奇迹。
